Pattern,Subject (s),Relation (r),Object (o)
Skill_pattern_1,Ryoma Ishigaki,Skill,Python
Skill_pattern_1,Haruto Yamamoto,Skill,SQL
Skill_pattern_1,Aoi Tanaka,Skill,Java
Skill_pattern_1,Riku Nakamura,Skill,Excel
Skill_pattern_1,Saki Kuroda,Skill,HTML
Skill_pattern_2,Ryoma Ishigaki,Skill,Python
Skill_pattern_2,Ryoma Ishigaki,Skill,SQL
Skill_pattern_2,Ryoma Ishigaki,Skill,Java
Skill_pattern_2,Ryoma Ishigaki,Skill,Excel
Skill_pattern_2,Ryoma Ishigaki,Skill,HTML
Skill_pattern_3,Ryoma Ishigaki,Skill,Python
Skill_pattern_3,Ryoma Ishigaki,Skill,SQL
Skill_pattern_3,Ryoma Ishigaki,Skill,Java
Skill_pattern_3,Ryoma Ishigaki,Skill,Excel
Skill_pattern_3,Ryoma Ishigaki,Skill,HTML
Hobbies_pattern_1,Ryoma Ishigaki,Hobbies,Reading
Hobbies_pattern_1,Haruto Yamamoto,Hobbies,Hiking
Hobbies_pattern_1,Aoi Tanaka,Hobbies,Cooking
Hobbies_pattern_1,Riku Nakamura,Hobbies,Gaming
Hobbies_pattern_1,Saki Kuroda,Hobbies,Photography
Hobbies_pattern_2,Ryoma Ishigaki,Hobbies,Reading
Hobbies_pattern_2,Ryoma Ishigaki,Hobbies,Hiking
Hobbies_pattern_2,Ryoma Ishigaki,Hobbies,Cooking
Hobbies_pattern_2,Ryoma Ishigaki,Hobbies,Gaming
Hobbies_pattern_2,Ryoma Ishigaki,Hobbies,Photography
Hobbies_pattern_3,Ryoma Ishigaki,Hobbies,Reading
Hobbies_pattern_3,Ryoma Ishigaki,Hobbies,Hiking
Hobbies_pattern_3,Ryoma Ishigaki,Hobbies,Cooking
Hobbies_pattern_3,Ryoma Ishigaki,Hobbies,Gaming
Hobbies_pattern_3,Ryoma Ishigaki,Hobbies,Photography
Awards_pattern_1,Ryoma Ishigaki,Awards,MVP
Awards_pattern_1,Haruto Yamamoto,Awards,Best Paper
Awards_pattern_1,Aoi Tanaka,Awards,Innovation Award
Awards_pattern_1,Riku Nakamura,Awards,Employee of the Month
Awards_pattern_1,Saki Kuroda,Awards,Top Sales
Awards_pattern_2,Ryoma Ishigaki,Awards,MVP
Awards_pattern_2,Ryoma Ishigaki,Awards,Best Paper
